id	CIF	nomor_identitas	nama_sesuai_identitas	alamat
262	CUST000262	5449924520294580	Zail Gunawan M.Pd	Psr. Kyai Gede 542, Banjarbaru 10298, Kalimantan selatan
263	CUST000263	5308932649912500	Martani Prasasta	Ki. Basmol Raya No. 417, Bandaraceh 13031, Aceh
264	CUST000264	5275721168073160	Tari Usada	Ki. Wahidin Sudirohusodo No. 62, Bukittinggi 61392, Sumatera Barat
265	CUST000265	4929474264800000	Devy U	Jr. Reksoninten No. 47, Bima 66782, Lampung
266	CUST000266	4916357989617910	Gumilar	Jl. Raya Imogiri timur km 10 Yogyakarta
267	CUST000267	4556182077267580	Vega Ardianto	Sumatera barat
268	CUST000268	4716936601849160	Warsa Haryanto S.Psi	Ds. Bayam No. 81, Surabaya 44957, JaTim
269	CUST000269	44872948084020	Aisyah Wulandari	Psr. Bakin No. 518, Bogor 41216, BaBel
270	CUST000270	49294465320	Oman Marbun	Basoka Raya No. 559, Administrasi Jakarta Timur
271	CUST000271	5270204851583120	Pranowo Perdana	Dk. Flores No. 350, Jambi 
272	CUST000272	5475021535727150	Rachel A	Pasuruan, Jawa Timur. Desa Ekonomi no 210
273	CUST000273	5549544863968340	Marsito Warsita Marpaung	Jln. Bambu No. 819, Palangka Raya 97784, KalTeng
274	CUST000274	5513356044383860	Puti Ratna Padmasari 	Desa Wahidin Sudirohusodo  799, Kupang 58166, NTT
275	CUST000275	5505004834695600	Lantar Gilang Latupono S.E.I	Psr. Muwardi No. 682, Bau-Bau 77977, Sulawesi Tenggara
276	CUST000276	6011068935379450	Prastuti Elisa	Kpg. Suprapto No. 60, Tidore Kepulauan 33603, Maluku Utara
277	CUST000277	4024007149721660	Gina Pratiwi	Kpg. Setiabudhi No. 245, Tangerang 80051, SulTeng
278	CUST000278	4716834651346900	Abi	Jln. Wahidin No. 996, RT 8 RW 9, Yogyakarta
279	CUST000279	4485920695398470	Kemba Danu Nainggolan S.IP	Labu No. 442, Cirebon, JaBar
280	CUST000280	4528061539728550	Jelita Rahima	Gg. Gajah No. 599, Solo 39471, JaTim
281	CUST000281	5440093893953600	Aswani Aditya Tamba S.Pd	Bagonwoto  970, Palangkaraya 48561, KalTeng
282	CUST000282	6011245588527180	Nur Diyanti Oni	Jalan Bakin 915, Sawahlunto 40018, SumBar
283	CUST000283	4024007162691070	Maras 	Raden No. 527, Pekalongan 93952, SulBar
284	CUST000284	5576923751427170	Genta Uyainah S.Gz	Jln. M. Yamin No. 128, Medan 78777, Sumatera Utara
285	CUST000285	5256915995406940	Jalindra Pertiwi	Psr. Babah No. 588, Jakarta Timur
286	CUST000286	5173375698838020	Irma Z Rahmawati	Dk. Babakan No. 920, Bandung 33057, Jabar
287	CUST000287	5583362442103970	Hendra Prasetya S.Gz	Psr. Villa No. 361, Sorong, Papua Barat
288	CUST000288	5549544863968340	Marsito Warsita Marpaung	Jln. Bambu No. 819, Palangka Raya 97784, KalTeng
289	CUST000289	60110192427871GO	Lili Astuti	Jln. Panjaitan No. 382, Malang 63501, JaTim
290	CUST000290	4916064078185380	Eriati	Jl. Imogiri Timur Km.12,8 Puton, Trimulyo, Jetis Yogyakarta
291	CUST000291	5567152854342660	Hilda Puspasari	Jln. Wahidin 743, Langsa 87211, Aceh
292	CUST000292	4024007162691070	Maras Putra M.Pd.	Raden No. 527, Pekalongan 93952, SulBar
293	CUST000293	536413356927236O	Hamzah Tasdik Megantara S.H.	Jln. Samanhudi No. 297, Malang 61901, BaBel
294	CUST000294	5498382229499510	Salimah Pertiwi	Jl. Baan Blok GH 2 No. 828, Malang  Jawa Timur
295	CUST000295	4024007105085230	Umay Waskita	Psr. Muwardi No. 538, Tangerang Selatan 26590, Banten
296	CUST000296	5124567316757880	Olga Tampubolon	Ds. Sutami No. 67, Sungai Penuh 75979, Bali
297	CUST000297	4916357989617910	Gumelar	Jalan Raya Imogiri timur km 10 Yogyakarta
298	CUST000298	5449924520294580	Jail Gunawan	Psr. Kyai Gede  542, Banjarbaru 10298, Kalimantan selatan
299	CUST000299	5308932649912500	Martani Prasasta	Ki. Basmol Raya No. 417, Bandaraceh 13031, Aceh
300	CUST000300	5336688906202920	Dodo Napi Tupulu	Gg. Jayawijaya No. 460, Osua 32020, Papua
301	CUST000301	6011208504813050	Clara Yulianti	Komplek Pelajar Pejuang 45 / 577, Pangkal Pinang  Bangka Belitung
302	CUST000302	5440093893953600	Aswani Aditya Tamba S.Pd	Bagonwoto  970, Palangkaraya 48561, KalTeng
303	CUST000303	5281628730857600	Indah Mandasari M.Farm	Gg. Raya Ujungberung No. 987, Sungai Penuh 73212, SulUt
304	CUST000304	4532472213938120	Koko Prabawa Wasita M.Ak	Gg. Gremet No. 35, Palu 29156, Kalimantan Selatan
305	CUST000305	6011062858521030	Umar Setiawan	Kampung Urang No. 983, Bandung Jawa Barat
306	CUST000306	4929954485070080	Unjani Pujiastuti	Jln. Sukajadi No. 311, Makassar
307	CUST000307	5568182379911740	Zizi Rachel Astuti M.TI.	Jr. Pasirkoja No. 644, Administrasi Jakarta Barat 
308	CUST000308	5401081879464390	Gasti Agustina	Ketandan 121 Tebing Tinggi
309	CUST000309	4024007182053110	Hadi Natsir	Lumban Tobing No. 732, Batam 43831
310	CUST000310	5493961324104720	Upik Wisnu Pranowo S.IP	
311	CUST000311	5414776730028510	Ilyas Emong Sirait S.IP	
312	CUST000312		Ilyas Emong Sirait S.IP	Ki. Abdul Muis No. 196, Madiun 25937, SulBar
313	CUST000313	5495024463314370	Maryanto Saptono	Kepulauan Tidore, Jalan Mulyadi no 830, Maluku Utara
314	CUST000314	5475021535727150	Rachel	Pasuruan Desa Ekonomi Jawa Timur 
315	CUST000315	4024007149721660	Gina Pratiwi	Kpg. Setiabudhi No. 245, Tangerang 80051, SulTeng
316	CUST000316	5596021438228220	Gandewa Simanjuntak	Jl. Labu No. 762, Kediri 52777, Jatim
317	CUST000317	5503747054623440	Yuni Oktaviani	Kep. Riau, Batam. Sutarjo B12/503
318	CUST000318	4024007105085230	Umaya Was	Psr. Muwardi No. 538, TangSel 26590, Banten
319	CUST000319	4024007130386880	Safina Uyainah	Wahid No. 127, Prabumulih 97322, NTT
320	CUST000320	4024007107685700	Zyzy Yulianti	
321	CUST000321	5207983845051470	Samiyah Rahayu	Ds. Padang No. 714, Cilegon 35940, Banten
322	CUST000322	5130625283796430	Bakda Sitorus	Jln. Gajah No. 370, Bontang 94921
323	CUST000323	4539809928850370	K. Saragih	Jr. Taman No. 243, Sorong 70349, Papua Barat
324	CUST000324	4434742410753270	Nurul Anastasia Melani S.E.I	Mochammad Yamin 622 Pangkal Pinang
325	CUST000325	6011010135093160	Clara Diana Prastuti S.IP	Maluku Utara, Kepulauan Tidore, Gang Salak 482
326	CUST000326	5414629215050580	Ghani Jaga raga	Kpg. Gedebage Selatan No. 299, Makassar 71776, SulSel
327	CUST000327	5229527120764820	Cahya Putu Setiawan S.I.Kom	Dk. Simpang Tujuh No. 157, Prabumulih 81021, Sumatra Selatan
328	CUST000328	5405425066528700	Liem Siauw Po	Sentot Alibasa 324 ternate
329	CUST000329	5364133569272360	Hamzah Tasdik Megantara S.H.	Jln. Samanhudi No. 297, Malang 61901, BaBel
330	CUST000330	5180118600098680	Rahayu Olivia 	Ds. Badak No. 359, Madiun, Jatim
331	CUST000331	399004430	Septi Humaira Hartati M.M.	Ki. Suniaraja No. 768, Gunungsitoli 76050, Sumut
332	CUST000332	5596021438228220	Gandewa Simanjuntak	Jl. Labu No. 762, Kediri 52777, Jatim
333	CUST000333	5512555832182850	Genta Usada	Kyai Haji Muwardi No. 962, Ambon 92429, Maluku
334	CUST000334	4929106273650750	Balidin Saputra	Jr. Ters. Pasir Koja No. 772, Cirebon 82871, Jawa Barat
335	CUST000335	4916400749404660	Jatiadi	Jl Wates Kilometer 3 Yogyakarta Yogyakarta
336	CUST000336	4539604112909270	Respati Prasetya Mulyana	Diponegoro No. 171, Probolinggo 57006, Jawa Timur
337	CUST000337	523448058716858O	Purwanto Wasis Ardianto S.E.	Jln. Industri 549, Bitung SulUt
338	CUST000338	5124860017913840	Mila Pia Fujiati M.Kom.	Laswi No 353, Tangerang, Banten
339	CUST000339	5502285300694270	Sakti Pradana	Jln. Jaya 753, Payakumbuh  Sumatera Barat
340	CUST000340	4485048312919220	Bela Novitasari	Kpg. Bahagia  Timur No. 185, Palopo 58744, SulSel
341	CUST000341	4716866427869500	Ady	Sugeng Jeroni No.28 Yogyakarta Yogyakarta
342	CUST000342	5454836293205520	Tantri G. Lailasari, S.IP	Psr. Ketandan No. 648, Padangpanjang, SumBar
343	CUST000343	4556056227010600	Dalima Prastuti, S.Farm	Jl. Suryo No. 553, Banjar  Jawa Barat
344	CUST000344	4929106273650750	Balidin Saputra	Jr. Ters. Pasir Koja No. 772, Cirebon 82871, Jawa Barat
345	CUST000345	4929474264800000	Devi U	Jr. Reksoninten No. 47, Bima 66782, Lampung
346	CUST000346	5513356044383860	Puti Ratna Padmasari S.IP	Desa Wahidin Sudirohusodo No. 799, Kupang 58166, NTT
347	CUST000347	5123616962358720	Rudi Baktianto Prakasa M.Ak	
348	CUST000348	5440093893953600	Aswani Aditya Tamba S.Pd	Bagonwoto  970, Palangkaraya 48561, KalTeng
349	CUST000349	5495024463314370	Maryanto Saptono	Jl. Mulyadi No. 830, Tidore Kepulauan 60620, Maluku Utara
350	CUST000350	4075611918558360	Rina Purwanti	Gg. Baha No. 165, Padangsidempuan 39417, DKI
351	CUST000351		Eman Taswir Simbolon	Jln. Eka No. 896, Palopo 98944, MalUt
352	CUST000352	5209894339757050	Bahuwarna Mahendra	Rajawali No. 179, Pematangsiantar 
353	CUST000353	5583362442103970	Hendra Prasetya S.Gz	Pasar Villa No. 361, Sorong, Papua Barat
354	CUST000354	4532103651039110	Salsabila Zulaika	Jl Baya Kali Bungur No. 937, Tanjungbalai 53991, Sumatera Utara
355	CUST000355	4716936601849160	Warsa Haryanto S.Psi	Ds. Bayam No. 81, Surabaya 44957, JaTim
356	CUST000356	4485920695398470	Kemba Danu	Labu No. 442, Cirebon, JaBar
357	CUST000357	4532731244866860	I Gede Wayan	Jl. Nangka Selatan No. 163 Denpasar – Bali
358	CUST000358	5395867930661660	Luluh Anggriawan	Gg. Thamrin No. 559, Ambon 71806, Maluku
359	CUST000359	5461008152511090	Hesti Anggraini	Kpg. Dipati ukur 174, Cimahi  Jawa Barat
360	CUST000360	5211654496507300	Anita	Jl Hang 910, Pekan baru Riau
361	CUST000361	4916064078185380	Eri	Jl. Imogiri Timur Km.12,8 Puton, Trimulyo, Jetis Yogyakarta
362	CUST000362	5334951287701100	Suryatmi Hasna	Psr. Barat No. 348, Pariaman 56073, Sumatera Barat
363	CUST000363	4024007192275820	Sari Hastuti S.Psi	Psr. Labu No. 889, Medan 63889, Sumut
364	CUST000364	4528061539728550	Jelita R	Gg. Gajah No. 599, Solo 39471, JaTim
365	CUST000365	5495214942928330	Nyoman Damar Prasetya	Jalan Jendral Ahmad Yani No. 661, Banjar Jawa Barat
366	CUST000366	5413664172544580	Tan Tjung Po	Ds. Baranang Siang Indah No. 327, Sungai Penuh 87511, Jambi
367	CUST000367	5514151401442140	Vicky Hamima Wahyuni S.T.	Gg. Panjaitan No. 273, Tigaraksa 74832, Banten
368	CUST000368	5207983845051470	Samiah Rohaya	Ds. Padang No. 714, Cilegon 35940, Banten
369	CUST000369	4916858561143200	Tania Hafshah Utami	Kpg. K.H. Wahid Hasyim (Kopo) No. 601, Magelang 93204, Jateng
370	CUST000370	4532472213938120	Engko Prabawa Wasita	Gg. Gremet No. 35, Palu 29156, Kalimantan Selatan
371	CUST000371	4716866427869500	Adi	Jalan Sugeng Jeroni No.28 Yogyakarta Yogyakarta
372	CUST000372	5513356044383860	Putri Radna Padmasari	Ds. Wahidin Sudirohusodo No. 799, Kupang 58166, NTT
373	CUST000373	5242155075234330	Primo Haryanto M.Farm	Psr. Cut Nyak Dien No. 872, Pangkal Pinang 56643, Bangka Belitung
374	CUST000374	5457906329359260	Bakti adi Situmorang	Jalan Baranang Siang No. 189, Singkawang Kalimantan
375	CUST000375	5475021535727150	Rahel A	Desa Ekonomi 210 RT 2 RW 8, Pasuruan Jawa Timur
376	CUST000376	5524587298406400	Radika Hendri Ramadan S.Gz	Jl. Yap Tjwan Bing  525, Tg. Pinang 90972, Kep Riau
377	CUST000377	4716534685463900	Bahuwirya Jefri Rajasa	Desa Flora 319 RT 4 RW 5 Sibolga
378	CUST000378	5543002542159720	Maryadi, Raihan Narji	Dk. Sunaryo 140, Pangkal Pinang, Bangka Belitung
379	CUST000379	5585234814101620	Tjakrawala P.	Jl. Laksamana 590, Makassar 90575, Sulawesi Selatan
380	CUST000380	5264761669081100	Yanuar Cahyadi	Imam Bonjol 707 Makassar Sulawesi Selatan
381	CUST000381	5429969353420090	Rendy Perdana	Ds. Labu No. 761, Sabang 89889, Aceh
382	CUST000382	4916475907608950	Ketut Wiana	Resto Liap Liap, Jalan Monkey Forest, Ubud, Bali
383	CUST000383	55245872984064OO	Radika Hendri Ramadhan S.Gz	Jr. Yap Tjwan Bing No. 525, Tanjung Pinang 90972, Kep Riau
384	CUST000384	5391026601115900	Kania Permata	Dk. Antapani Lama No. 458, Kediri 35780, JaBar
385	CUST000385	5395867g30661660	Luluh Anggriawan	Gg. Thamrin No. 559, Ambon 71806, Maluku
386	CUST000386	4897655778500980	Bayu Putra	Gambiran UH 5 No 359 Yogyakarta Yogyakarta
387	CUST000387	5498382229499510	Salimah Pertiwi	Jl. Baan Blok GH 2 No. 828, Malang  Jawa Timur
388	CUST000388	5232354348404420	Halima Mardhiyah	BLITAR
389	CUST000389	4916662978148840	Najwa Widiastuti	M. Toha No. 783, Pariaman 12736, Sumatera Barat
390	CUST000390	4897655778500980	Bayuputra	Gambiran UH 5 No 359 Yogyakarta Yogyakarta
391	CUST000391	4024007130732770	Hesti Iriana Y	Jalan Tubagus Ismail No. 295, Administrasi Jakarta Selatan
392	CUST000392		Oman Marbun	Basoka Raya No. 559, Administrasi Jakarta Timur
393	CUST000393	54602413225759IO	Laila Pratiwi	Gg. Rajiman No. 524, Sibolga  Sumatera Utara
394	CUST000394		Elisa Prastuti	
395	CUST000395	4716232276376110	Ratna Ade Purwanti S.H.	Kpg. Madiun No. 837, Palembang 98610, SumSel
396	CUST000396		Upik Wisnu Pranowo	Gang Gajah No. 833, Bengkulu
397	CUST000397	5250538521391670	Hari Dirja Wibisono	Jln. Cokroaminoto No. 649, Bitung 91110, Banten
398	CUST000398	54551654936588100	Adi Situmorang	Jl Basoka Raya No. 650, Cimahi 90847, Jawa Barat
399	CUST000399	4532751137432220	I Gede Perkasa	Jl. Tk Badung 168 C Denpasar – Bali
400	CUST000400	5199644351019250	Puji Aryani C	
401	CUST000401	4716557588698410	Oni Dina Pratiwi	Basoka Raya  111, Bogor  Jawa Barat
402	CUST000402	5405490014300840	Tio Ban Cung	Dk. Rumah Sakit No. 23, Palembang 91530, JaTeng
403	CUST000403	4929106273650750	Balidin Saputra	Jr. Ters. Pasir Koja No. 772, Cirebon 82871, Jawa Barat
404	CUST000404	5336688906202920	Dodo Napitupulu M.Pd	Gg. Jayawijaya No. 460, Osua 32020, Papua
405	CUST000405		Diana Andriani	Jr. Abdullah No. 234, Denpasar 25791, Bali
406	CUST000406	5583362442103970	Hendra Prasetya S.Gz	Pasar Villa No. 361, Sorong, Papua Barat
407	CUST000407	5460241322575910	Laila Pratiwi	Gg. Rajiman  524, Sibolga  Sumatera Utara
408	CUST000408	6011019242787170	Lily Astuti	Jln. Panjaitan No. 382, Malang 63501, JaTim
409	CUST000409	4485738208448950	Atmaja Halim	Jln. Babur Royan 561, Balikpapan , Kalimantan Timur
410	CUST000410	5461008152511090	Hesti Anggraini	Kampung Dipatiukur No. 174, Cimahi 53414, Jawa Barat
411	CUST000411	4716700453729410	Muhammad Simanjuntak M.Ak	Gg. Ters. Buah Batu No. 396, Tual 94508, KalBar
412	CUST000412	4423330424853730	Mulyanto Putra	Antapani Lama No. 758, Yogyakarta 53104
413	CUST000413	5425146328741730	Waluyo J Prasetyo	Bakti no 699, Kupang NTT
414	CUST000414	5500099863915000	Gasti Nilam Yuliarti M.Kom.	Ki. Otista No. 800, Sukabumi 71048, Banten
415	CUST000415	5220911672812730	Viollet Citra Sudihati	Jln. Gajah 587 Banjar masin Kalimantan Selatan
416	CUST000416	5449924520294580	Jail G., M.Pd	Psr. Kyai Gede No. 542, Banjarbaru 10298, Kalimantan selatan
417	CUST000417		Ella Pertiwi	Ki. Abdul. Muis No. 863, Madiun
418	CUST000418	5475021535727150	Andriani Rahel	Jawa Timur, Desa Ekonomo no 210 Pasuruan
419	CUST000419	KTP4556597358461300	Banara Nashiruddin	Jr. Adisucipto No. 105, Tangerang  
420	CUST000420	5543002542159720	Narji Maryadi, Raihan	
421	CUST000421	5310842372996320	Capa Gunawan	Gg. Kalimalang No. 33, Banjarmasin 60536, Kalimantan Selatan
422	CUST000422	5454836293205520	Tanti Genta Lailasari S.IP	Psr. Ketandan No. 648, Padangpanjang, SumBar
423	CUST000423	5400476050223110	Elvin Kardi Prasetya M.Ak	Gg. Sutoyo No. 927, Bandar Lampung, Lampung
424	CUST000424	448587294808402o	Aisyah Wulandari	Psr. Bakin No. 518, Bogor 41216, BaBel
425	CUST000425	5596021438228220	Gandewa Simanjuntak	Jl. Labu No. 762, Kediri 52777, Jatim
426	CUST000426	4539682500256130	Maya Andriani	Ki. Bara No. 898, Kediri
427	CUST000427	5385764714795100	Kencana	Jl. Dr Wahidin Sudirohusodo 48-A RT 019/06 DI Jogjakarta
428	CUST000428	4929106273650750	Balidin Saputra	Jr. Ters. Pasir Koja No. 772, Cirebon 82871, Jawa Barat
429	CUST000429	5596021438228220	Gandewa Simanjuntak	Jl. Labu No. 762, Kediri Jatim
430	CUST000430	4929273745492110	Yolanda Dinda	Jln. Sudirman No. 468, Payakumbuh 60901, BaBel
431	CUST000431	5498382229499510	Salimah Pertiwi	Jl. Baan Blok GH 2 No. 828, Malang 68837, Jawa Timur
432	CUST000432	5347353885442180	Restu Fujiati	Ds. B.Agam 1 No. 779, Administrasi Jakarta Barat
433	CUST000433	4485320794748760	DRAJAT	Kpg. Jagakarsa No. 675, Cilegon 54605, Banten
434	CUST000434	5548040671917160	Diana Andriani	
435	CUST000435	4024007192375820	Sari Hastuti S.Psi	Psr. Labu No. 889, Medan 63889, Sumut
436	CUST000436	5560632972222670	Queen Halimah	Jalan Bakin No. 556, Kendari 32991, Sulawesi Tenggara
437	CUST000437	5401081879464390	Gasti Agustina	Ketandan No. 121, Tebingtinggi Jambi
438	CUST000438	4556475749481800	Olivia Rahayu	Dk. Soekarno Hatta No. 770, Batu 76388, JaBar
439	CUST000439	5467422222025940	Maya Yuliana Suryatmi S.Gz	Jln. Banceng Pondok No. 598, Yogyakarta 38591, JaTeng
440	CUST000440	518OOO8689798680	Rahayu Oliva Handayani	Ds. Badak No. 359, Madiun, Jatim
441	CUST000441	5385764714795100	Kencono	Jl. Dr Wahidin Sudirohusodo 48-A RT 019/06 DI Yogyakarta
442	CUST000442	4916858561143200	Tania Hafshah Utami	Kpg. K.H. Wahid Hasyim (Kopo) No. 601, Magelang 93204, Jateng
443	CUST000443	5204646680624910	Asmadi Sihombing	Dk. Abdullah No. 319, Metro 78044, JakBar
444	CUST000444	4929614581019170	Ina Yanuar binti manurung	Jalna Abdul. Muis No. 691, Surakarta 97516, Jateng
445	CUST000445	542996935342OO90	Rendy Perdana	Ds. Labu No. 761, Sabang 89889, Aceh
446	CUST000446	40240071076857000	Yulianti, Zizi	Kpg. Rajawali Timur No. 60, Sorong 68431, NTB
447	CUST000447	4445834100535960	Kemba Jagaraga Tampubolon	Jr. Yos Sudarso No. 488, Probolinggo 12338, Jatim
448	CUST000448	4539604112909270	Respati Prasetya Mulyana	Diponegoro No. 171, Probolinggo 57006, Jawa Timur
449	CUST000449	4556836399004430	Septi Humaira Hartati M.M.	Ki. Suniaraja No. 768, Gunungsitoli 76050, Sumut
450	CUST000450	4897655778500980	Bayu	Gambiran UH 5 No 359 Yogyakarta Yogyakarta
451	CUST000451	4423330424853730	Mulyanto P	Ki. Antapani Lama No. 758, Yogyakarta 
452	CUST000452	5576267396681980	Madi Budiyanto	Jl. Tentara Pelajar No. 658 B12 RT 7, Solok Sumatera barat
453	CUST000453	4485024556028240	Nadia Yuniar S.IP	Ds. Bata Putih No. 986, Kupang 
454	CUST000454	5334951287701100	Hasna S	Psr. Barat No. 348, Pariaman 56073, Sumatera Barat
455	CUST000455	4024007192275520	Sari Hastuti S.Psi	Psr. Labu No. 889, Medan 63889, Sumut
456	CUST000456	5405425066528700	Lim Siauw Po	Dk. Sentot Alibasa No. 324, Ternate 44867, Maluku
457	CUST000457	4485320794748760	D. Habibi	Kpg. Jagakarsa No. 675, Cilegon 54605, Banten
458	CUST000458	5128376927778700	Opan Hutasoit	Kampung Babakan nomor 999 Malang
459	CUST000459	5549544863968340	Marsito Warsita Marpaung	Jln. Bambu No. 819, Palangka Raya 97784, KalTeng
460	CUST000460		Diana Andriani	Jr. Abdullah No. 234, Denpasar 25791, Bali
461	CUST000461	5314880679274300	Devi Palastri	Jln. Bayan No. 733, Tangerang 13509, DIY
462	CUST000462	4532751137432220	I Gede Perkasa	Jalan Tukad Badung 168 C Denpasar – Bali
463	CUST000463	4539127383314490	Kadir Wibisono S.H.	Pondok Cilegon Indah B13 no 9, Cilegon, Banten
464	CUST000464	4485558618892200	Jono Dabuk	Kpg. Basmol Raya No. 123, Singkawang 35483, Kalimantan Barat
465	CUST000465	4024007130386880	Safina Uya	Ds. Wahid No. 127
466	CUST000466	6011160061976250	Soleh Santoso	Ds. Bata Putih No. 805, Madiun 75463, Jawa Timur
467	CUST000467	5109434287663230	Kadir Rajasa	Desa Sentot Alibasa No. 92, Banjarmasin 38738, KalSel
468	CUST000468	5594413739514990	Ade Ajeng Purwanti S.I.Kom	Jr. Umalas No. 445, Jayapura 20568, Papua
469	CUST000469	5285750027210280	Cindy Vanesa Agustina M.Pd	Ki. Sukajadi No. 428, Padangpanjang , Sumatera Barat
470	CUST000470	5549544863968340	Marsito Warsita Marpaung	Jln. Bambu No. 819, Palangka Raya 97784, KalTeng
471	CUST000471	5308932649912500	Martani Prasasta	Ki. Basmol Raya No. 417, Bandaraceh 13031, Aceh
472	CUST000472	4916662978148840	Najwa Widiastuti	Muhamad Toha No. 783, Pariaman 12736, Sumatra Barat
473	CUST000473	4556182077267580	Vega Ardianto	Kali No. 383, Bukittinggi  SumBar
474	CUST000474	5414776730028510	Ilyas Emong Sirait S.IP	Ki. Abdul Muis No. 196, Madiun 25937, SulBar
475	CUST000475	5425146328741730	Waluyo Jatmiko Prasetya S.Pt	Psr. Bakti No. 699, Kupang 43944, NTT
476	CUST000476	4024007105085230	Umaya Waskita	
477	CUST000477	5523559464675060	Agnes Faizah Mayasari	Jln. Reksoninten No. 241, Kediri 57162, Jawa Timur
478	CUST000478	5531142200907990	Sania Pujiastuti	Desa Bappenas  900, Banjar, Jawa Barat
479	CUST000479	5275721168073160	Tari Usada	Bukittinggi SumBar, Ki Wahiddin Sudiro Husodo 62
480	CUST000480	KTP4556597358461300	Banara Nashiruddin	Jr. Adisucipto No. 105, Tangerang Selatan
481	CUST000481	4929471179028710	Vicki Hariya	Dahlia no 477 Jambi
482	CUST000482	4556056227010600	Dalima Prastuti S.Farm	Jl. Suryo No. 553, Banjar  Jawa Barat
483	CUST000483	5561292889969060	Rizki Halimah	Jalan Bakin No. 556, Kendari 32991, Sulawesi Tenggara
484	CUST000484	4532265704299040	Prakasa Wibisono	Gg. M.T. Haryono No. 998, Banjarbaru 90923, Kalimantan Selatan
485	CUST000485	5334951287701100	Hasna Surya Atmi	Psr. Barat No. 348, Pariaman 56073, Sumatera Barat
486	CUST000486	554598606024658O	Nadia Umi Laksmiwati	Gg. Lembong No. 771, Sorong Papua Barat
487	CUST000487	5594655853652760	Lidya Nurdiyanti	Pasar Gremet No. 31, Padangpanjang Sumatera Barat
488	CUST000488	4024007107685700	Zizi Yulianti	Kpg. Rajawali Timur No. 60, Sorong 68431, NTB
489	CUST000489	4716834641345900	Abi y	Yogyakarta
490	CUST000490		Ella Pertiwi	
491	CUST000491	5199644351019250	Puji Aryani	
492	CUST000492	5385764714795100	Kencana	Jalan Dr Wahidin Sudirohusodo 48-A RT 019/06 DI Jogjakarta
493	CUST000493	5306846665376680	Cemani Maheswara	Gg. Moch. Yamin No. 330, Probolinggo 26035, Jatim
494	CUST000494	5596021438228220	Gandewa Simanjuntak	Jln. Labu 762, Kediri  Jatim
495	CUST000495	4539127383314490	Kadir Wibisono S.H.	Pondok Cilegon Indah B13 no 9, Cilegon, Banten
496	CUST000496	5200650193764610	Nova Yuliarti	
497	CUST000497	5277074386112010	Cawuk Saputra M.TI.	Jr. Baiduri No. 801, Singkawang 57908, DIY
498	CUST000498	45565973584613O0	Banara Nashiruddin	Jr. Adisucipto No. 105, Tangerang  
499	CUST000499	5225743003513970	Amira Mardiyah	Desa Antapani Lama Samarinda
500	CUST000500	5560632972222670	Queen Halimah	Jalan Bakin No. 556, Kendari 32991, Sulawesi Tenggara
501	CUST000501	4539809928850370	Kambali Saragih	Jr. Taman No. 243, Sorong 70349, Papua Barat
502	CUST000502	4532265704299040	Perkasa Wibisono M.Kom.	Gg. M.T. Haryono No. 998, Banjarbaru 90923, Kalimantan Selatan
503	CUST000503	5543002542159720	Raihan N Maryadi	Sunaryo 140, Pangkal Pinang 47650, Bangka Belitung
504	CUST000504	6011219931100860	Clara Yulianti	Banceng Pondok No. 626, Banjarbaru, Kalimantan Selatan
505	CUST000505	4024007111906230	Paulin Tami Yuliarti S.Psi	Psr. Arifin No. 432, Banjarbaru 26800, KalTim
506	CUST000506	4539809928850370	Kembali Saragih	Jr. Taman No. 243, Sorong 70349, Papua Barat
507	CUST000507	6011062858521030	Oemar Setiawan	Kpg. Orang  983, Bandung Jawa Barat
508	CUST000508	5560632972222670	Queen Halimah	Jalan Bakin No. 556, Kendari 32991, Sulawesi Tenggara
509	CUST000509	5285750027210280	Cindy Vanesa Agustina	Ki. Sukajadi No. 428, Padangpanjang
510	CUST000510	4539127383314490	Kadir Wibisono S.H.	PCI B13 no 9, Banten
511	CUST000511	4423330424853730	Mulyanto Putra S.E.I	Ki. Antapani Lama No. 758, Yogyakarta 53104
512	CUST000512	4916783784508580	Muhamad	Psr. Ekonomi No. 258, Palu 92383, Sulawesi tengah
513	CUST000513	4485558618892200	Jono 	Kpg. Basmol Raya No. 123, Singkawang 35483, Kalimantan Barat
514	CUST000514	4556182077267580	Vega Ardianto	Gang Kali 383 Bukittinggi
515	CUST000515		Maya Yuliana Suryatmi S.Gz	Jln. Banceng Pondok No. 598, Yogyakarta 38591, JaTeng
516	CUST000516	5414629215050580	Ghani Jaga raga Sitorus	Kpg. Gedebage Selatan No. 299, Makassar 71776, SulSel
517	CUST000517	5588228266984940	Unjani Usada Amelia	Jln. Sugiono No. 914, Tangerang Banten
518	CUST000518	5161156836370260	Hassanah, Fitriani	Jr. Banda No. 42, Palu 91144, Sulteng
519	CUST000519	4024007158395410	Kamal Permadi	
520	CUST000520	5588228266984940	Amalia Unjani Usada	Jln. Sugiono 914, Tangerang Banten
521	CUST000521	4024007107685700	Zizi Yulianty	Rajawali Timur 60, Sorong 68431, NTB
522	CUST000522	4485558678892200	Jono Dabuke	Kpg. Basmol Raya No. 123, Singkawang 35483, Kalimantan Barat
523	CUST000523	5126480855572470	Irnanto Suryono S.I.Kom	Gg. Tubagus Ismail No. 848, Administrasi Jakarta Timur
524	CUST000524	5507201437748440	Sabrina Handayani	Ki. Baranangsiang No. 771, Pematangsiantar 40651, Aceh
